,User,Date Created,Number of Likes,Source of Tweet,Tweet
3011,ensurewords,2022-12-23 08:15:59+00:00,0,Twitter for Android,"@josh__tntl @Ramsak123 @GRVlagos We are against sowore bcos he help bring buhari into power so he must be punished for them, what experience in government did tinubu had b4 he was governor? Gardiola had no previous job b4 his time at Barcelona and he performed well. If you are good, u are good not by experience"
3012,Marioalekzis,2022-12-23 08:15:57+00:00,0,Twitter for Android,@AnelechiEmma @wandeo @GRVlagos Your IQ will drop I'd you dare it. Trust me
3013,Nizzy_dee,2022-12-23 08:15:55+00:00,5,Twitter for iPhone,@IdeasArticulatd @GRVlagos @GRVlagos2023 😂😂😂 is there any registration in Nigeria that doesn’t require that? Why do you all try to change narative to suit yourself? Why did you request for birth certificate in the first place ? 😂 a new Nigeria will start from you being Truthful and honest.
3014,wandeo,2022-12-23 08:15:45+00:00,0,Twitter Web App,@Officialecash @kaskingery @OnkuMike @GRVlagos That is what you are looking at in the picture. You are too young to see?
3015,Sheggz01,2022-12-23 08:15:34+00:00,2,Twitter for Android,"@elsuperior2024 @kpuraAraba @GRVlagos You borrowed $1.2bn to finance a project and you did something that's not even anywhere close to the amount you borrowed 
I wish there is a punishment for corruption in Nigeria"
3016,DibuaPeter,2022-12-23 08:15:17+00:00,0,Twitter for Android,@JohnLaw01107528 @wandeo @Ifejiro1 @GRVlagos That's why I said the guy is high
3017,fakeyeahmed,2022-12-23 08:15:11+00:00,1,Twitter for iPhone,@naija_nemesis @Emydimking @Nizzy_dee @GRVlagos @GRVlagos2023 I can't be. It is a welcome development. I hope to see more of that in other states.
3018,wandeo,2022-12-23 08:15:01+00:00,0,Twitter Web App,@JohnLaw01107528 @DibuaPeter @Ifejiro1 @GRVlagos I repeat Lagos is the only state in the world that built a light rail by itself.
3019,JohnLaw01107528,2022-12-23 08:14:41+00:00,0,Twitter for Android,@wandeo @DibuaPeter @Ifejiro1 @GRVlagos Remember you said that no state in the world has rail....not just only Nigeria.
3020,ChinaOgbo2020,2022-12-23 08:14:20+00:00,4,Twitter for Android,"@GRVlagos My greatest surprise is that people are using the same project to play politics and do campaigns.

Is there any relationship between this project and national campaigns?

With Lagos population and status, we should have over ten Metro lines as in other global mega cities"
3021,UndisputedIyke1,2022-12-23 08:14:19+00:00,0,Twitter for Android,"@GRVlagos The worst thing that can happen to you is to start acting like Peter Obi. Be yourself and do what is right, Peter Obi no even send you. I can assure you."
3022,tomyderules,2022-12-23 08:14:14+00:00,0,Twitter for Android,@tosinadeda @GRVlagos Love this pic!!!🤣🤣🤣🤣
3023,Rollingpen,2022-12-23 08:14:12+00:00,0,Twitter Web App,@GRVlagos Exactly my thoughts too!
3024,Officialecash,2022-12-23 08:14:12+00:00,3,Twitter for iPhone,@wandeo @kaskingery @OnkuMike @GRVlagos Old foool can we see the train 🚊 line tinubu built while still the governor of Lagos? That’s the question we need answers for mr
3025,ensurewords,2022-12-23 08:14:04+00:00,0,Twitter for Android,"@josh__tntl @Ramsak123 @GRVlagos Lagos generates more that what delta and river receive from fg, you miss the point. Lagos can get more like jakande did for Lagos, if only Lagos can free herself from the corrupt tinubu and gang"
