,User,Date Created,Number of Likes,Source of Tweet,Tweet
24,busari_jelili,2023-01-01 21:55:24+00:00,1,Twitter Web App,"@Mr_JAGs @jidesanwoolu @moakabash @SanwoAgain @olumide_sogunle @gbenga_omo @gboyegaakosile @Riddwane @Abi_Olusanya @YourViewTVC Mr jaGS iam your bigest fan on twitter,but every Time i tag you,you never reply me why"
25,AkpoviroroA,2023-01-01 21:49:38+00:00,0,Twitter Web App,@Mr_JAGs @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini It will last for up to 144 months (12years). https://t.co/MNzENo17MK
26,official_juxkid,2023-01-01 21:49:11+00:00,0,Twitter for Android,@factfactos @furySava @jidesanwoolu You're still a baby boy. Posting few bucks on your avi shows how immature you're. That's probably the most you've made in your miserable lowlife. This right here ends the unnecessary relevance I'm giving you.
27,AkpoviroroA,2023-01-01 21:48:28+00:00,0,Twitter Web App,"@jidesanwoolu We are in this together, but this 4th Mainland bridge will be completed in 12/12 https://t.co/MNzENo0zXc"
28,tony97159274,2023-01-01 21:47:33+00:00,0,Twitter for Android,@jidesanwoolu https://t.co/AuYmFV0q9j
29,tony97159274,2023-01-01 21:47:13+00:00,0,Twitter for Android,@jidesanwoolu https://t.co/3NzVEut69b
30,code_naij,2023-01-01 21:43:44+00:00,1,Twitter for iPhone,"@FlamzespotNg @Adesola_Solace @Oolusegun_obj @jidesanwoolu In other words, you name isn’t there yet."
31,QudusIbrahim33,2023-01-01 21:42:20+00:00,3,Twitter for Android,@tomakinta @officialABAT @OfficialAPCNg @Sanwoolu_Hamzat @jidesanwoolu #vote4jandon
32,chatwithbodmoor,2023-01-01 21:39:29+00:00,1,Twitter for Android,@Mr_JAGs @jidesanwoolu @moakabash @SanwoAgain @olumide_sogunle @gbenga_omo @gboyegaakosile @Riddwane @Abi_Olusanya @YourViewTVC Noted.
33,factfactos,2023-01-01 21:38:34+00:00,0,Twitter for iPhone,@official_juxkid @furySava @jidesanwoolu Told you I'm gonna feed your family or you quickly forgotten so easily? Na that Yaba shirt wey you wear dey deceive you àbi? The only tribe not proud of their region but rather want to die on another people's region. That's ibo for you. Lol
34,Advsola,2023-01-01 21:37:40+00:00,12,Twitter for iPhone,"Governor @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am. Tune in via:

DSTV Channel: 418 

STARTIMES: CH 121 https://t.co/lKPFj2IvMG"
35,studios_jamie,2023-01-01 21:34:55+00:00,0,Twitter Web App,"can't wait for Lagos burna boys love damini in l a city where dreams are built, a city like no other.
Pastor Adeboye Blessing CEO #LagosLovesDamini Barcelona #NengiRebeccaHampson Jang Uk Teni Emi Lokan NENGI AT 25 @jidesanwoolu @burnaboy @falzthebahdguy @stylebender @BarackObama"
36,thatguyfaruq,2023-01-01 21:32:35+00:00,1,Twitter for iPhone,"Governor of Lagos State, @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023.

Tune in 9:30am
DSTV Channel: 418 
STARTIMES: CH 121 
#ForAGreaterLagos https://t.co/o5li9Zs7Ex"
37,Topsyken,2023-01-01 21:32:26+00:00,31,Twitter for Android,"The Performer General of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am …. 

Kindly TUNE IN via DSTV Channel: 418 or STARTIMES: CH 121 

#ForAGreaterLagos https://t.co/2ByrIvzql5"
38,ISLANDTALKS_,2023-01-01 21:32:02+00:00,1,Twitter for Android,"The Performing Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am …. Kindly TUNE IN 

DSTV Channel: 418 

STARTIMES: CH 121 

#ForAGreaterLagos
@moakabash
@Mr_JAGs 
@jidesanwoolu https://t.co/5mBahEi9I7"
39,OnyedikaCyril1,2023-01-01 21:29:22+00:00,1,Twitter for Android,"@Gbemmy_27011 @FlamzespotNg @Adesola_Solace @Oolusegun_obj @jidesanwoolu Lolz, sensible youth and the guy na mumu🤣🤣🤣"
40,Muvvido,2023-01-01 21:28:48+00:00,12,Twitter for Android,"Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am. 

Kindly TUNE IN.
DSTV Channel: 418.
STARTIMES: CH 121.
#ForAGreaterLagos #SanwoAgain #SanwoLekansi https://t.co/FbsCoUCHeX"
