,User,Date Created,Number of Likes,Source of Tweet,Tweet
39,nelempowerment,2023-01-01 10:50:54+00:00,5,Twitter for iPhone,@officialjandor A welcome idea 🙌🏼🙌🏼 JAFUNEKO is here to stay
40,group_democrat,2023-01-01 10:49:13+00:00,0,Twitter for Android,@officialjandor Jandor all the way.
41,mdseun,2023-01-01 10:48:17+00:00,6,Twitter for Android,"@officialjandor Happy New Year Mr. Jandor, were you not part of the system until the last moment you switched over to PDP, I can remember vividly your interview with @ARISEtv when you cross to PDP that you are not in PDP to contest for Governorship. You are indifferent don't preach noble. Cheers"
42,Adamexoflagos,2023-01-01 10:46:12+00:00,4,Twitter for iPhone,"@officialjandor @funkeakindele Ure talking nonsense, Dictatorship of who? Development in Lagos is done chronologically according to the prepared master plan and hasn’t stopped, so what’s special that you wanna do? Jimi Agbaje do pass you,ask him the outcome today??😡🤨
Happy new year to u"
43,adedstv,2023-01-01 10:44:55+00:00,21,Twitter for Android,"@officialjandor Your election will be the easiest and quickest to decide! Keep running your social media mouth. March is around the corner! PDP will never rule Lagos ! Don't merge us with those backwardly governed states! Lagos is Africa's number 5! So do another campaign,not mudslinging!"
44,hayzedofficial,2023-01-01 10:42:30+00:00,0,Twitter for Android,"@iconictskwears4 @officialjandor Dey suppose jail your parents. If Lagos is not safe, why are people relocating to Lagos from other states? Hatred don make your brain melt."
45,iconictskwears4,2023-01-01 10:40:01+00:00,0,Twitter for iPhone,@hayzedofficial @officialjandor Lagos in safe hand Like this ? Dem supposed jail you forever i swear
46,temidayohassan,2023-01-01 10:37:08+00:00,0,Twitter for Android,"@officialjandor Oniyeye!
You can't use this rhetorics to cajoule people to vote for you..."
47,IkhihibhojereC1,2023-01-01 10:34:08+00:00,4,Twitter for Android,@officialjandor 2023 is the year to RIGHT such divisive WRONGS...PDP is ready to take cover.
48,olami133,2023-01-01 10:33:44+00:00,0,Twitter for iPhone,@officialjandor Time to be free
49,dejijunior,2023-01-01 10:31:43+00:00,7,Twitter for iPhone,"@officialjandor @funkeakindele If you lots had had a better campaign strategy other than saying Lagos is been held and run by an individual, it would have been better for many to say let’s vote for a change."
50,niyiconda,2023-01-01 10:28:06+00:00,2,Twitter for Android,@iconictskwears4 @officialjandor Your state is Abia Rwanda
51,yapapadeycraze,2023-01-01 10:23:23+00:00,3,Twitter for Android,"@officialjandor By God's grace, you're the next governor of Lagos State"
52,hayzedofficial,2023-01-01 10:23:07+00:00,0,Twitter for Android,"@iconictskwears4 @officialjandor No. Because, Lagos is in safe hands."
53,iconictskwears4,2023-01-01 10:20:58+00:00,1,Twitter for iPhone,"@officialjandor Jandor i salute your courage sir, I hope God use u to brake the bondage of Godfatherism in our dear state"
54,iconictskwears4,2023-01-01 10:19:21+00:00,1,Twitter for iPhone,@hayzedofficial @officialjandor Because you don’t want freedom makes you remain hopeless because you are blind to see the front
55,EgbaOgheneme,2023-01-01 10:07:11+00:00,0,Twitter for Android,@officialjandor Looking forward to a Lagos free from godfatherism.
56,KumoluJohnson,2023-01-01 10:03:39+00:00,5,Twitter for iPhone,@officialjandor This assurance of a better government is a special gift for the people of Lagos. Lagos is not for one but for ALL. VOTE DR ABDUL-AZEEZ OLAJIDE ADEDIRAN as the 16th Governor of Lagos state.
57,Ifydeyforyou,2023-01-01 10:00:52+00:00,2,Twitter for Android,@officialjandor https://t.co/7082XM7yN2
